,0,1,2,3
"[6.0, 6.0, 54.0, 54.0]",1.1418944704705582e-06,4.283968803176468e-05,-0.17383137616441327,4.102496541247326e-08
"[6.0, 66.0, 54.0, 114.0]",4.41616528792121e-07,5.670683488688096e-08,0.0002515832943446242,7.405124029711268e-06
"[6.0, 126.0, 54.0, 174.0]",6.327872594196785e-06,0.0,0.0,2.5796945709402126e-12
hell,0.0,0.0,0.0,0.0
"[66.0, 66.0, 114.0, 114.0]",-0.19836941046095402,5.580203349895734e-09,0.001167027773907331,3.9245356809738136e-06
"[126.0, 66.0, 174.0, 114.0]",-0.1312541872310217,5.947902852392378e-11,0.005537007313141505,1.3345282374127168e-05
"[66.0, 126.0, 114.0, 174.0]",3.0734567500993585e-07,0.0,2.929530322462643e-09,2.2301103073724615e-08
"[66.0, 186.0, 114.0, 234.0]",0.0,0.0,0.0,0.0
"[6.0, 186.0, 54.0, 234.0]",0.0,0.0,0.0,0.0
"[126.0, 186.0, 174.0, 234.0]",0.0,0.0,0.0,0.0
"[186.0, 186.0, 234.0, 234.0]",0.0,0.0,1.503611394759e-11,0.0
"[246.0, 186.0, 294.0, 234.0]",7.609399911908919e-06,1.503611394759e-11,0.0,0.0
"[306.0, 186.0, 354.0, 234.0]",0.0,0.0,0.0,0.0
"[366.0, 186.0, 414.0, 234.0]",0.0,0.0,0.0,0.0
"[366.0, 126.0, 414.0, 174.0]",0.03443570068888821,0.0,0.0,0.0
"[366.0, 66.0, 414.0, 114.0]",0.6851908268190479,0.00035005332133557557,0.023771249100336525,0.003262673547902986
"[306.0, 126.0, 354.0, 174.0]",0.0,0.0,0.0007593744419639169,7.607745939374684e-06
"[306.0, 66.0, 354.0, 114.0]",-0.10466174574128355,1.3950254274179908e-05,0.28386504945330404,0.0020219614677943394
"[246.0, 66.0, 294.0, 114.0]",-0.06793465209301,5.163583242532631e-06,0.09581697180211,0.00037367079698328676
"[246.0, 126.0, 294.0, 174.0]",0.0016421900369458882,4.080463047000001e-12,2.8820748235401213e-06,4.233024730022294e-06
"[186.0, 126.0, 234.0, 174.0]",0.0006550732886580551,0.0,5.82940719796937e-06,0.0
"[126.0, 126.0, 174.0, 174.0]",0.0,0.0,3.2550336916251586e-07,2.9789436114018707e-13
"[186.0, 66.0, 234.0, 114.0]",-0.11361512828387071,5.1198794603722485e-06,0.024934586205703217,3.447931821168266e-05
terminal,0.0,0.0,0.0,0.0
